UHAWAII_ID	PSMSL_ID	Site	Basin	Lat	Lon	Country	Region	GPD_Record_Start	GPD_Record_End	Annual_Trend	Trend_Start	Trend_End	Lambda	Q99	Shape50	Shape5	Shape95	Scale50	Scale5	Scale95	Vshape	Vscale	Vscaleshape
085a	8500000	Buenaventura	pacific	3.95	-77.17	Colombia	South America	1953	2014	2.269121389	1953	2014	2.016173548	0.837633123	-0.087375611	-0.222003004	0.047251782	0.083164235	0.064834632	0.101493837	0.004718139	8.75E-05	-0.00044528
303a	30300000	Tumaco	pacific	1.82	-78.85	Colombia	South America	1951	2014	-1.09325856	1951	2014	1.9375	0.694367827	-0.062948766	-0.214845437	0.088947904	0.069209176	0.053145956	0.085272396	0.006006207	6.72E-05	-0.00044847
265a	26500000	Cartagena	atlantic	10.38	-75.53	Colombia	South America	1951	1993	5.323407658	1951	1993	1.441837514	0.173466215	-0.127038115	-0.331353085	0.077276855	0.033478492	0.022780792	0.044176192	0.010866863	2.98E-05	-0.000422865
024a	2400000	Penrhyn	pacific	-9.07	-158.08	Cook Islands	SIDS	1977	2015	1.227035992	1977	2015	1.435973041	0.196052479	0.092799174	-0.220888661	0.406487008	0.049070971	0.029076105	0.069065836	0.025615284	0.000104074	-0.001166718
087a	8700000	Quepos-A	pacific	9.4	-84.17	Costa Rica	South America	1961	1994	0.406358017	1961	1994	1.705951039	0.568170062	-0.499049802	-0.770124123	-0.227975482	0.117243993	0.07607631	0.158411676	0.019128485	0.000441181	-0.00275199
838a	83800000	Hornbaek	atlantic	56.1	12.47	Denmark	Europe	1891	2012	0.420461578	1891	2012	2.442650359	0.70455171	-0.166209485	-0.263033293	-0.069385677	0.219420956	0.186944404	0.251897509	0.00244044	0.000274564	-0.000637512
837a	83700000	Gedser	atlantic	54.57	11.93	Denmark	Europe	1891	2012	1.193236286	1891	2012	2.385272666	0.656191074	-0.034270682	-0.113567056	0.045025691	0.211126632	0.181666242	0.240587023	0.001636856	0.000225934	-0.000369586
003b	300000	Baltra-B	pacific	-0.47	-90.3	Ecuador	South America	1985	2015	1.346201542	1985	2015	1.193627451	0.501003848	-0.347159385	-0.684584427	-0.009734343	0.125475703	0.068652907	0.1822985	0.029638651	0.000840522	-0.004487693
030a	3000000	Santa Cruz	pacific	-0.8	-90.43	Ecuador	South America	1978	2015	0.607809874	1978	2015	1.263203401	0.470843715	-0.354512406	-0.612517549	-0.096507262	0.094757086	0.059742617	0.129771555	0.017328483	0.000319153	-0.002095765
091a	9100000	La Libertad	pacific	-2.2	-80.92	Ecuador	South America	1949	2015	5.616081532	1949	2015	1.537360549	0.531957738	-0.18991941	-0.365244476	-0.014594344	0.096198138	0.071363888	0.121032389	0.008001876	0.000160548	-0.000913338
082a	8200000	Acajutla-A	pacific	13.58	-89.83	El Salvador	South America	1962	2001	2.872016927	1962	2001	1.5	0.481264379	-0.223816559	-0.512546537	0.064913419	0.072775044	0.045160766	0.100389322	0.021701391	0.000198505	-0.00178915
054a	5400000	Chuuk	pacific	7.45	151.85	Fd. St. Micronesia	SIDS	1956	1991	1.584758818	1956	1991	1.527777778	0.284245575	0.285023452	-0.027331003	0.597377907	0.027884614	0.016704251	0.039064978	0.025397983	3.25E-05	-0.000520744
029a	2900000	Kapingamarangi	pacific	1.23	154.87	Fd. St. Micronesia	SIDS	1978	2015	2.558435272	1978	2015	1.684271201	0.350535167	-0.141299378	-0.379354922	0.096756167	0.064642685	0.042692153	0.086593217	0.014752323	0.000125428	-0.001075497
001b	100000	Pohnpei-B	pacific	7.02	158.33	Fd. St. Micronesia	SIDS	1974	2004	2.85524215	1974	2004	1.54835291	0.37513262	-0.056004182	-0.289696088	0.177687724	0.054335375	0.034443854	0.074226895	0.01421645	0.000103001	-0.000830927
008b	800000	Yap-B	pacific	9.58	138.23	Fd. St. Micronesia	SIDS	1969	2015	3.011901331	1969	2015	1.383039147	0.325872418	0.467423992	0.155901711	0.778946272	0.041567903	0.025855492	0.057280315	0.025262833	6.43E-05	-0.000610604
018c	1800000	Suva-C	pacific	-18.27	178.52	Fiji	SIDS	1972	2015	-0.231201431	1972	2015	1.5	0.365248322	-0.044971444	-0.224477047	0.13453416	0.057421144	0.040180015	0.074662272	0.008388027	7.74E-05	-0.000518689
019a	1900000	Noumea	pacific	-22.32	166.42	France	Europe	1967	2015	0.93969822	1967	2015	1.632675867	0.316577627	-0.192632632	-0.39674405	0.011478786	0.054136835	0.038104249	0.070169421	0.010845221	6.69E-05	-0.000692012
822a	82200000	Brest	atlantic	48.38	-4.6	France	Europe	1846	2014	1.233827842	1846	2014	2.000040502	1.3348422	-0.320300342	-0.419707566	-0.220893118	0.18919892	0.162389502	0.216008339	0.002572407	0.000187102	-0.000608623
824a	82400000	Marseille	atlantic	43.38	5.38	France	Europe	1885	1988	1.278497727	1885	1988	2.028899566	0.356356094	-0.136401579	-0.267808069	-0.00499509	0.132857106	0.107958504	0.157755707	0.00449508	0.000161381	-0.000671283
016a	1600000	Rikitea	pacific	-23.2	-134.98	French Polynesia	SIDS	1969	2015	1.680880753	1969	2015	1.702202027	0.237207085	-0.468594826	-0.755082546	-0.182107105	0.043300436	0.02835922	0.058241652	0.021365637	5.81E-05	-0.001061357
015b	1500000	Papeete-B	pacific	-17.6	-149.57	French Polynesia	SIDS	1975	2015	2.112298467	1975	2015	1.609782972	0.162771713	0.233416335	-0.047907854	0.514740525	0.038123725	0.024189193	0.052058256	0.020602407	5.05E-05	-0.000616613
825a	82500000	Cuxhaven	atlantic	53.87	8.72	Germany	Europe	1917	2014	1.929018515	1917	2014	2.622485612	1.30135611	-0.065444974	-0.191887824	0.060997876	0.459336804	0.378631041	0.540042567	0.004161907	0.001695559	-0.002021035
834a	83400000	Malin Head	atlantic	55.37	-7.33	Ireland	Europe	1958	2001	-1.261808	1958	2001	2.204545455	0.911843424	-0.083026454	-0.245563739	0.07951083	0.132501978	0.098532388	0.166471568	0.006877171	0.000300389	-0.00101511
364a	36400000	Hakodate	pacific	41.78	140.72	Japan	Pacific	1964	2014	-0.317309575	1964	2014	2.725453618	0.303214393	-0.199467092	-0.37343754	-0.025496643	0.07250728	0.055238151	0.089776409	0.007878704	7.76E-05	-0.000654255
348a	34800000	Hamada	pacific	34.9	132.07	Japan	Pacific	1984	2014	5.056048387	1984	2014	2.096727899	0.369192911	0.080795856	-0.219728868	0.38132058	0.07604264	0.046700842	0.105384438	0.023510628	0.000224118	-0.001684827
356a	35600000	Maisaka	pacific	34.68	137.62	Japan	Pacific	1968	2014	-1.755061812	1968	2014	1.893589445	0.354646843	0.227914863	-0.074882169	0.530711895	0.099044271	0.062986016	0.135102526	0.023867506	0.000338465	-0.002051956
365a	36500000	Ishigaki	pacific	24.33	124.15	Japan	Pacific	1969	2014	2.294480419	1969	2014	1.413085531	0.496630743	-0.161401866	-0.39918008	0.076376348	0.129699658	0.085897671	0.173501646	0.014717971	0.000499449	-0.002178703
355a	35500000	Naha	pacific	26.22	127.67	Japan	Pacific	1966	2014	2.130210595	1966	2014	1.510225177	0.487994848	0.041939155	-0.173226169	0.257104479	0.078048914	0.053612479	0.102485348	0.012051702	0.000155446	-0.00089412
349a	34900000	Toyama	pacific	36.77	137.23	Japan	Pacific	1967	2014	2.891651249	1967	2014	1.854166667	0.323677461	0.026022038	-0.200141769	0.252185844	0.048738072	0.033791069	0.063685074	0.013315272	5.82E-05	-0.000633552
358a	35800000	Hosojima	pacific	32.42	131.68	Japan	Pacific	1933	1975	0.520007716	1933	1975	1.53495702	0.491883117	0.068830903	-0.187302197	0.324964003	0.105653277	0.068528188	0.142778367	0.01707793	0.000358789	-0.001686152
350a	35000000	Kushiro	pacific	42.97	144.37	Japan	Pacific	1963	2014	8.573015985	1963	2014	2.692307692	0.29998643	-0.051203009	-0.214616329	0.112210312	0.072911781	0.055967396	0.089856166	0.006951503	7.47E-05	-0.000531859
347a	34700000	Abashiri	pacific	44.02	144.28	Japan	Pacific	1968	2014	2.005823953	1968	2014	2.063799732	0.428517795	-0.12435268	-0.302132881	0.05342752	0.08204848	0.060258707	0.103838253	0.008227551	0.000123597	-0.000766897
352a	35200000	Mera	pacific	34.92	139.82	Japan	Pacific	1965	2014	4.234735834	1965	2014	2.200060234	0.351625816	0.124404733	-0.081912344	0.330721809	0.065610482	0.047421551	0.083799413	0.011080878	8.61E-05	-0.000643166
360a	36000000	Wakkanai	pacific	45.4	141.68	Japan	Pacific	1967	2014	2.771710812	1967	2014	2.875	0.308363544	0.106405379	-0.083553121	0.296363879	0.05362114	0.040110479	0.0671318	0.009393367	4.75E-05	-0.000457481
047a	4700000	Chichijima	pacific	27.1	142.18	Japan	Pacific	1975	2014	3.540994371	1975	2014	1.475	0.357961	0.115246813	-0.172661703	0.40315533	0.068023125	0.041945662	0.094100589	0.021578082	0.000177025	-0.001318812
363a	36300000	Nishinoomote	pacific	30.75	131.07	Japan	Pacific	1965	2013	2.510041251	1965	2013	1.510225177	0.497620471	-0.040557863	-0.2600253	0.178909574	0.082260943	0.056260419	0.108261466	0.012538454	0.000175982	-0.001074238
359a	35900000	Naze	pacific	28.52	129.6	Japan	Pacific	1957	2013	3.041490404	1957	2013	1.508790048	0.510832872	0.098408332	-0.138063995	0.334880658	0.071193864	0.048674991	0.093712737	0.014556751	0.000132007	-0.000946336
375a	37500000	Hachinohe	pacific	40.53	141.53	Japan	Pacific	1980	2011	4.066532258	1980	2011	2.375	0.321013562	-0.000722327	-0.246661457	0.245216804	0.058015046	0.038710418	0.077319673	0.015745595	9.70E-05	-0.000912362
357a	35700000	Miyakejima	pacific	34.07	139.62	Japan	Pacific	1964	2013	7.723553421	1964	2013	1.339963314	0.62693481	0.170730331	-0.087759571	0.429220233	0.074147437	0.048209731	0.100085143	0.01739366	0.000175133	-0.001067965
345a	34500000	Nakano Shima	pacific	29.92	129.92	Japan	Pacific	1984	2013	3.769521691	1984	2013	1.766586056	0.502984264	0.152495039	-0.171164085	0.476154162	0.066573559	0.038696346	0.094450772	0.027269648	0.000202303	-0.001593682
351a	35100000	Ofunato	pacific	39.02	141.75	Japan	Pacific	1965	2014	4.464366736	1965	2014	2.24006133	0.318362051	-0.033126009	-0.187643671	0.121391654	0.061423157	0.046625128	0.076221187	0.006215271	5.70E-05	-0.00039902
362a	36200000	Nagasaki	pacific	32.73	129.87	Japan	Pacific	1985	2014	3.699221357	1985	2014	1.600073013	0.651223242	-0.107246358	-0.314921863	0.100429148	0.075542653	0.049145772	0.101939534	0.011227275	0.000181388	-0.00099845
354a	35400000	Aburatsu	pacific	31.58	131.42	Japan	Pacific	1961	2014	2.18490566	1961	2014	1.518557015	0.491960447	0.052938362	-0.179276395	0.28515312	0.113977866	0.077827487	0.150128246	0.014037296	0.000340196	-0.00152214
353a	35300000	Kushimoto	pacific	33.48	135.77	Japan	Pacific	1961	2014	4.129550821	1961	2014	1.574113979	0.448813002	-0.182801431	-0.410316442	0.044713581	0.107569836	0.074346836	0.140792835	0.01347485	0.00028733	-0.001638172
320a	32000000	Cendering	pacific	5.4	103.22	Malaysia	Indian	1984	2013	3.038040504	1984	2013	1.566595182	0.652789719	-0.09781886	-0.424316118	0.228678398	0.103902902	0.058927849	0.148877955	0.027749994	0.000526559	-0.003076704
321a	32100000	Johor Baharu	pacific	1.57	103.87	Malaysia	Indian	1983	2013	3.187757495	1983	2013	2.096727899	0.611450395	-0.125727385	-0.279138881	0.027684111	0.078039653	0.055744969	0.100334336	0.006126601	0.000129392	-0.00060998
322a	32200000	Kuantan	pacific	4.05	103.55	Malaysia	Indian	1983	2013	3.45294772	1983	2013	1.677382319	0.723716864	-0.088766639	-0.348547312	0.171014034	0.094656366	0.059153513	0.130159219	0.017567805	0.000328118	-0.001809598
141a	14100000	Keling	indian	2.35	102.18	Malaysia	Indian	1984	2013	2.9685999	1984	2013	1.666590619	0.497356688	-0.211551013	-0.489614359	0.066512333	0.07247635	0.044360038	0.100592662	0.020127568	0.000205788	-0.001699774
143a	14300000	Lumut	indian	4.3	100.73	Malaysia	Indian	1984	2013	3.062561576	1984	2013	1.599926994	0.57714024	-0.308346258	-0.517871901	-0.098820615	0.100390344	0.06615627	0.134624418	0.011428209	0.000305085	-0.001594595
140a	14000000	Kelang	indian	3.05	101.43	Malaysia	Indian	1983	2013	2.788593045	1983	2013	1.838669081	0.948181757	-0.318470587	-0.571574709	-0.065366466	0.142768364	0.092372679	0.193164049	0.016676398	0.000661136	-0.002924961
142a	14200000	Langkawi	indian	6.9	99.8	Malaysia	Indian	1985	2015	3.116748768	1985	2015	1.967872284	0.669848209	-0.21345239	-0.430206122	0.003301342	0.074223436	0.049949465	0.098497407	0.012230297	0.000153386	-0.001111854
144a	14400000	Penang	indian	5.47	100.47	Malaysia	Indian	1984	2013	3.869731801	1984	2013	1.899913305	0.580146188	-0.049867093	-0.28697853	0.187244344	0.052392536	0.03400527	0.070779802	0.014635542	8.80E-05	-0.000809493
103c	10300000	Port Louis-C	indian	-20.2	57.6	Mauritius	SIDS	1986	2015	3.797482211	1986	2015	1.333394177	0.283849867	-0.3644876	-0.65854117	-0.07043403	0.075236723	0.044246961	0.106226486	0.022509027	0.00025	-0.002131358
105a	10500000	Rodrigues	indian	-19.68	63.43	Mauritius	SIDS	1986	2015	5.549539529	1986	2015	1.400063886	0.439089864	0.105556398	-0.212442976	0.423555772	0.081403008	0.045788504	0.117017512	0.026324271	0.000330185	-0.001915878
395a	39500000	Manzanillo-A	pacific	19.08	-104.45	Mexico	South America	1953	1982	2.598064892	1953	1982	1.400063886	0.35234493	-0.18164045	-0.489639261	0.126358361	0.081534066	0.046643354	0.116424778	0.024694594	0.000316901	-0.002301237
317a	31700000	Ensenada	pacific	31.85	-116.63	Mexico	South America	1956	1991	1.784852473	1956	1991	1.75	0.5119021	-0.33786156	-0.531689605	-0.144033515	0.075777165	0.052837993	0.098716336	0.009779959	0.000136981	-0.001012831
394a	39400000	Salina Cruz	pacific	16.25	-95.23	Mexico	South America	1952	1983	0.030859831	1952	1983	1.46875	0.383475075	0.025350849	-0.332334772	0.38303647	0.053284553	0.02891354	0.077655565	0.033304796	0.000154615	-0.001743364
316a	31600000	"Acapulco-A, Gro."	pacific	16.9	-100.02	Mexico	South America	1952	1995	3.207670652	1952	1995	1.045454545	0.311611758	-0.018254476	-0.248274802	0.211765851	0.086794493	0.054752901	0.118836086	0.013773244	0.000267259	-0.001228804
034a	3400000	Cabo San Lucas	pacific	23	-109.98	Mexico	South America	1973	2002	-0.039273828	1973	2002	1.466733595	0.453542121	-0.492471234	-0.777123126	-0.207819341	0.090776651	0.055948949	0.125604353	0.02109269	0.000315757	-0.002436318
397a	39700000	Guaymas	pacific	27.93	-110.9	Mexico	South America	1953	1986	4.805399719	1953	1986	1.470647447	0.359376765	-0.117180371	-0.35651104	0.122150299	0.068689665	0.043651602	0.093727727	0.014910786	0.000163194	-0.001165717
028b	2800000	Saipan-B	pacific	15.32	145.82	N. Mariana Islands	SIDS	1978	2015	3.052399229	1978	2015	1.052669501	0.231281274	0.539355584	0.062207809	1.016503359	0.045030893	0.020565756	0.06949603	0.059266547	0.000155811	-0.001732146
398a	39800000	Marsden Point	pacific	-35.83	174.5	New Zealand	Pacific	1975	2014	2.208364451	1975	2014	1.625	0.436612474	0.540779938	0.117982562	0.963577314	0.048486798	0.025735752	0.071237844	0.046533786	0.000134743	-0.001633005
073a	7300000	Tauranga	pacific	-37.65	176.18	New Zealand	Pacific	1984	2014	4.03714258	1984	2014	1.774154376	0.326036915	-0.306481383	-0.563252621	-0.049710146	0.094336901	0.060439758	0.128234044	0.017163133	0.000299109	-0.001983632
076a	7600000	Taranaki	pacific	-39.05	174.03	New Zealand	Pacific	1984	2014	-1.157042318	1984	2014	2.096727899	0.652503469	0.373912246	0.114859641	0.632964851	0.078433474	0.051506436	0.105360511	0.017469471	0.000188747	-0.000750011
071a	7100000	Wellington	pacific	-41.28	174.78	New Zealand	Pacific	1944	2014	2.567964727	1944	2014	2.281668145	0.328379919	-0.112713976	-0.254988395	0.029560443	0.062493201	0.049447185	0.075539217	0.005269355	4.43E-05	-0.000367633
804a	80400000	Tregde	atlantic	58	7.57	Norway	Europe	1927	2008	-0.427982221	1927	2008	2.365814163	0.469835891	-0.011370353	-0.170577131	0.147836425	0.095605627	0.075298296	0.115912958	0.006598222	0.000107352	-0.000636183
803a	80300000	Rorvik	atlantic	64.87	11.25	Norway	Europe	1969	2014	-1.107433184	1969	2014	2.217457294	0.704762051	0.155148019	-0.067016512	0.37731255	0.113155239	0.079956529	0.14635395	0.012848525	0.00028691	-0.001254801
823a	82300000	Ny-Alesund	atlantic	78.93	11.95	Norway	Europe	1976	2014	-4.792313879	1976	2014	2.153808354	0.429238968	-0.212717208	-0.377977835	-0.047456582	0.100501693	0.073734975	0.127268411	0.007109558	0.000186507	-0.000914943
805a	80500000	Vardo	atlantic	70.33	31.1	Norway	Europe	1979	2014	-1.348291647	1979	2014	2	0.685129045	-0.137216545	-0.29965976	0.02522667	0.14195607	0.102129075	0.181783064	0.006869213	0.000412913	-0.001208474
302a	30200000	Balboa	pacific	9.1	-79.63	Panama	South America	1907	2014	1.420665627	1907	2014	1.824074074	0.983291727	-0.296059704	-0.406228923	-0.185890485	0.130332122	0.10778709	0.152877154	0.003159544	0.000132314	-0.000549856
